gene_id	length	counts	TPM
ERR1913073_00005	2448	368	26.502855
ERR1913073_00006	1998	321	28.324732
ERR1913073_00007	1425	205	25.362687
ERR1913073_00008	1431	254	31.293226
ERR1913073_00009	1047	169	28.457470
ERR1913073_00010	978	217	39.118045
ERR1913073_00011	645	119	32.526962
ERR1913073_00012	1368	176	22.682077
ERR1913073_00013	333	45	23.824541
ERR1913073_00014	1434	159	19.548086
ERR1913073_00015	1392	188	23.810848
ERR1913073_00016	132	7	9.349327
ERR1913073_00017	1983	288	25.605074
ERR1913073_00018	1881	373	34.960392
ERR1913073_00019	2097	301	25.306048
ERR1913073_00020	1230	195	27.950254
ERR1913073_00021	762	98	22.673959
ERR1913073_00022	912	106	20.491195
ERR1913073_00023	705	94	23.506880
ERR1913073_00024	1905	210	19.434822
ERR1913073_00025	843	138	28.860760
ERR1913073_00026	1503	221	25.923256
ERR1913073_00027	267	45	29.713753
ERR1913073_00028	360	48	23.506880
ERR1913073_00029	423	63	26.257685
ERR1913073_00030	1914	278	25.607025
ERR1913073_00034	174	45	45.595242
ERR1913073_00035	201	8	7.016979
ERR1913073_00036	513	63	21.651074
ERR1913073_00037	396	54	24.041127
ERR1913073_00038	1353	223	29.057840
ERR1913073_00039	459	64	24.582358
ERR1913073_00040	3033	519	30.168325
ERR1913073_00041	918	179	34.376892
ERR1913073_00042	2556	419	28.900771
ERR1913073_00043	3180	493	27.332292
ERR1913073_00044	1251	198	27.903851
ERR1913073_00045	2673	436	28.757014
ERR1913073_00046	183	25	24.084918
ERR1913073_00047	513	103	35.397787
ERR1913073_00048	330	31	16.561666
ERR1913073_00049	1140	132	20.413870
ERR1913073_00050	573	58	17.845537
ERR1913073_00051	252	41	28.683991
ERR1913073_00052	1983	310	27.561017
ERR1913073_00053	423	40	16.671546
ERR1913073_00054	2259	382	29.812843
ERR1913073_00055	282	34	21.256221
ERR1913073_00056	1365	245	31.643877
ERR1913073_00057	426	56	23.175797
ERR1913073_00058	435	65	26.343917
ERR1913073_00059	576	85	26.016729
ERR1913073_00060	177	5	4.980271
ERR1913073_00061	1254	207	29.102417
ERR1913073_00062	948	187	34.776793
ERR1913073_00063	471	77	28.822130
ERR1913073_00064	198	9	8.013709
ERR1913073_00065	186	7	6.635007
ERR1913073_00066	528	73	24.375032
ERR1913073_00067	303	48	27.928967
ERR1913073_00068	1602	271	29.823804
ERR1913073_00069	1302	156	21.123694
ERR1913073_00070	705	94	23.506880
ERR1913073_00071	1182	165	24.610630
ERR1913073_00072	321	36	19.772142
ERR1913073_00073	333	31	16.412461
ERR1913073_00074	432	20	8.162111
ERR1913073_00075	366	40	19.267935
ERR1913073_00076	585	69	20.794548
ERR1913073_00077	381	31	14.344750
ERR1913073_00078	921	129	24.693710
ERR1913073_00079	960	165	30.301838
ERR1913073_00080	1584	236	26.267158
ERR1913073_00081	1056	151	25.209793
ERR1913073_00082	2286	380	29.306478
ERR1913073_00083	1350	204	26.641131
