gene_id	length	counts	TPM
ERR1913108_00001	1200	97	12.063359
ERR1913108_00002	1551	129	12.412397
ERR1913108_00003	1155	93	12.016520
ERR1913108_00004	2133	186	13.013671
ERR1913108_00005	954	97	15.174036
ERR1913108_00006	2535	263	15.483015
ERR1913108_00007	3708	323	12.999916
ERR1913108_00008	261	37	21.156264
ERR1913108_00009	1593	163	15.270371
ERR1913108_00010	2070	176	12.688786
ERR1913108_00011	1593	126	11.804090
ERR1913108_00012	1056	93	13.143069
ERR1913108_00013	783	61	11.626415
ERR1913108_00014	2463	176	10.664144
ERR1913108_00015	930	88	14.121391
ERR1913108_00016	1422	121	12.698825
ERR1913108_00017	933	35	5.598403
ERR1913108_00018	936	64	10.204268
ERR1913108_00019	3753	319	12.684982
ERR1913108_00020	447	42	14.022309
ERR1913108_00021	297	38	19.094351
ERR1913108_00022	570	57	14.923743
ERR1913108_00023	423	44	15.523515
ERR1913108_00024	252	14	8.290968
ERR1913108_00025	219	25	17.036236
ERR1913108_00026	2505	222	13.225832
ERR1913108_00027	141	7	7.408950
ERR1913108_00028	429	22	7.653201
ERR1913108_00029	276	28	15.140029
ERR1913108_00030	2076	221	15.887029
ERR1913108_00031	216	18	12.436452
ERR1913108_00032	93	0	0.000000
ERR1913108_00033	723	31	6.398838
ERR1913108_00034	1242	86	10.333670
ERR1913108_00035	1008	82	12.140346
ERR1913108_00036	996	84	12.586289
ERR1913108_00037	1404	122	12.967925
ERR1913108_00038	399	25	9.350716
ERR1913108_00039	663	71	15.981685
ERR1913108_00040	1173	126	16.030619
ERR1913108_00041	384	40	15.545565
ERR1913108_00042	1227	112	13.622324
ERR1913108_00043	1047	70	9.977669
ERR1913108_00044	1227	110	13.379068
ERR1913108_00045	984	87	13.194772
ERR1913108_00046	1218	100	12.252662
ERR1913108_00047	1272	120	14.079002
ERR1913108_00048	450	30	9.949162
ERR1913108_00049	1263	85	10.043691
ERR1913108_00050	558	41	10.965474
ERR1913108_00051	558	30	8.023518
ERR1913108_00052	891	89	14.906993
ERR1913108_00053	603	61	15.096987
ERR1913108_00054	1149	78	10.131000
ERR1913108_00055	561	34	9.044693
ERR1913108_00056	1410	98	10.372530
ERR1913108_00057	324	18	8.290968
ERR1913108_00058	183	8	6.524040
ERR1913108_00059	1038	60	8.626441
ERR1913108_00060	1470	124	12.588735
ERR1913108_00061	108	1	1.381828
ERR1913108_00062	138	2	2.162861
ERR1913108_00063	375	16	6.367464
ERR1913108_00064	402	29	10.765884
ERR1913108_00065	591	58	14.645974
ERR1913108_00066	858	59	10.262247
ERR1913108_00067	606	40	9.850655
ERR1913108_00068	1485	121	12.160087
ERR1913108_00069	1476	117	11.829796
ERR1913108_00070	654	80	18.255343
ERR1913108_00071	1137	99	12.994288
ERR1913108_00072	981	86	13.082996
ERR1913108_00073	1701	141	12.370651
ERR1913108_00074	1188	117	14.697625
ERR1913108_00075	1065	95	13.312259
ERR1913108_00076	618	49	11.832741
ERR1913108_00077	726	65	13.361478
ERR1913108_00078	681	43	9.423215
ERR1913108_00079	537	31	8.615196
ERR1913108_00080	405	39	14.371011
ERR1913108_00081	1689	127	11.221523
ERR1913108_00082	432	37	12.781909
ERR1913108_00083	1236	94	11.349772
ERR1913108_00084	900	47	7.793510
ERR1913108_00085	252	9	5.329908
ERR1913108_00086	318	32	15.017603
ERR1913108_00087	210	17	12.081125
ERR1913108_00088	807	81	14.979221
ERR1913108_00089	417	45	16.104758
ERR1913108_00090	129	13	15.039431
ERR1913108_00091	891	61	10.217153
ERR1913108_00092	150	13	12.933910
ERR1913108_00093	408	37	13.533786
ERR1913108_00094	828	56	10.093353
